HDROCIO QUARTERLY EXTRACT                  20260830                                                                                                                                                                         
OCIO00000001Cobalt Retail Inc.                      CTR-00001-1   FY25Q30000000360000000010000006606948000000637768600000000466000000012000000002000000015328120240312TX212147772         USD                               
OCIO00000001Cobalt Retail Inc.                      CTR-00001-1   FY25Q40000000360000000010000004033802000000386361600000000446000000013000000003000000006938120240312TX212147772         USD                               
OCIO00000001Cobalt Retail Inc.                      CTR-00001-1   FY26Q10000000340000000040000004232774000000412661600000000304000000007000000002000000010539620240312TX212147772         USD                               
OCIO00000001Cobalt Retail Inc.                      CTR-00001-1   FY26Q20000000340000000050000004621786000000450781300000000389000000013000000001000000011230920240312TX212147772         USD                               
OCIO00000001Cobalt Retail Inc.                      CTR-00001-1   FY26Q30000000250000000010000004794540000000469078600000000410000000006000000000000000011842520240312TX212147772         USD                               
OCIO00000002Meridian Retail Ltd                     CTR-00002-1   FY25Q30000000160000000000000006966939000000679840800000000570000000012000000001000000014421520240625TX759223641         GBP                               
OCIO00000002Meridian Retail Ltd                     CTR-00002-1   FY25Q40000000170000000000000004390995000000429000200000000426000000004000000003000000012075220240625TX759223641         GBP                               
OCIO00000002Meridian Retail Ltd                     CTR-00002-1   FY26Q10000000180000000000000006069318000000584244700000000506000000011000000002000000010378520240625TX759223641         GBP                               
OCIO00000002Meridian Retail Ltd                     CTR-00002-1   FY26Q20000000190000000010000007462559000000710562500000000774000000032000000002000000018731020240625TX759223641         GBP                               
OCIO00000002Meridian Retail Ltd                     CTR-00002-1   FY26Q30000000120000000020000004568225000000432313900000000618000000014000000000000000006532520240625TX759223641         GBP                               
OCIO00000003Kestrel Retail Inc.                     CTR-00003-1   FY25Q30000000600000000070000014845627000001426056100000001121000000013000000001000000036074820220816TX243954652         USD                               
OCIO00000003Kestrel Retail Inc.                     CTR-00003-1   FY25Q40000000610000000070000011451693000001125793100000001158000000040000000004000000029430820220816TX243954652         USD                               
OCIO00000003Kestrel Retail Inc.                     CTR-00003-1   FY26Q10000000680000000020000011630389000001109376300000001289000000054000000007000000030006420220816TX243954652         USD                               
OCIO00000003Kestrel Retail Inc.                     CTR-00003-1   FY26Q20000000660000000060000012416461000001209859900000001157000000042000000002000000023467120220816TX243954652         USD                               
OCIO00000003Kestrel Retail Inc.                     CTR-00003-1   FY26Q30000000450000000040000013763119000001300518400000001346000000064000000000000000035921720220816TX243954652         USD                               
OCIO00000004Lantern Holdings Inc.                   CTR-00004-1   FY25Q30000000700000000070000016796168000001654372200000001213000000036000000004000000024354420211031TX629602869         USD                               
OCIO00000004Lantern Holdings Inc.                   CTR-00004-1   FY25Q40000000700000000030000011993587000001178441900000000834000000033000000001000000030463720211031TX629602869         USD                               
OCIO00000004Lantern Holdings Inc.                   CTR-00004-1   FY26Q10000000700000000010000010477804000001015781200000001016000000021000000001000000013097220211031TX629602869         USD                               
OCIO00000004Lantern Holdings Inc.                   CTR-00004-1   FY26Q20000000630000000050000009568080000000941929600000000776000000030000000002000000026216520211031TX629602869         USD                               
OCIO00000004Lantern Holdings Inc.                   CTR-00004-1   FY26Q30000000400000000030000010439379000001026775600000000949000000013000000001000000018477720211031TX629602869         USD                               
OCIO00000005Meridian Holdings K.K.                  CTR-00005-1   FY25Q30000001200000000110004212336240000408950451500000002859000000062000000012000007497958520190109TX889251525         JPY                               
OCIO00000005Meridian Holdings K.K.                  CTR-00005-1   FY25Q40000001140000000110002538255720000241781548600000001921000000056000000014000005609545120190109TX889251525         JPY                               
OCIO00000005Meridian Holdings K.K.                  CTR-00005-1   FY26Q10000001120000000080004783028880000465570465100000004506000000070000000022000010331342320190109TX889251525         JPY                               
OCIO00000005Meridian Holdings K.K.                  CTR-00005-1   FY26Q20000001100000000060002031431220000195051931400000001911000000035000000013000004062862420190109TX889251525         JPY                               
OCIO00000005Meridian Holdings K.K.                  CTR-00005-1   FY26Q30000000690000000040001033729200000100676954200000000969000000016000000001000001922736320190109TX889251525         JPY                               
OCIO00000006Cobalt Retail K.K.                      CTR-00006-1   FY25Q30000000130000000000000259222320000025490626800000000228000000005000000000000000339581220190513TX609193836         JPY                               
OCIO00000006Cobalt Retail K.K.                      CTR-00006-1   FY25Q40000000120000000000000179303880000017424571700000000113000000004000000000000000303023520190513TX609193836         JPY                               
OCIO00000006Cobalt Retail K.K.                      CTR-00006-1   FY26Q10000000110000000000000222999000000021454956700000000185000000004000000001000000347878420190513TX609193836         JPY                               
